Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,44.476.000.000,45.388.000.000,44.476.000.000,45.383.000.000,45.383.000.000,75560200
2007-01-03,45.379.000.000,45.379.000.000,44.284.000.000,44.445.000.000,44.445.000.000,122372800
2007-01-04,44.442.000.000,44.442.000.000,43.623.000.000,44.020.000.000,44.020.000.000,86577000
2007-01-05,44.019.000.000,44.081.000.000,42.160.000.000,42.245.000.000,42.245.000.000,164055000
2007-01-08,42.249.000.000,42.926.000.000,42.144.000.000,42.830.000.000,42.830.000.000,114007100
2007-01-09,42.831.000.000,43.001.000.000,41.438.000.000,42.007.000.000,42.007.000.000,112991900
2007-01-10,42.001.000.000,42.336.000.000,41.266.000.000,42.336.000.000,42.336.000.000,110755900
2007-01-11,42.336.000.000,43.128.000.000,41.940.000.000,42.670.000.000,42.670.000.000,84165800
2007-01-12,42.669.000.000,43.188.000.000,42.526.000.000,43.095.000.000,43.095.000.000,96842400
2007-01-15,43.095.000.000,43.473.000.000,42.875.000.000,42.919.000.000,42.919.000.000,45027800
2007-01-16,42.916.000.000,42.916.000.000,42.415.000.000,42.624.000.000,42.624.000.000,93088400
2007-01-17,42.626.000.000,42.930.000.000,42.252.000.000,42.735.000.000,42.735.000.000,73003000
2007-01-18,42.741.000.000,43.402.000.000,42.407.000.000,42.478.000.000,42.478.000.000,97203200
2007-01-19,42.477.000.000,43.428.000.000,42.477.000.000,43.428.000.000,43.428.000.000,0
2007-01-22,43.431.000.000,43.879.000.000,43.183.000.000,43.553.000.000,43.553.000.000,70802000
2007-01-23,43.549.000.000,44.243.000.000,43.432.000.000,44.177.000.000,44.177.000.000,109921200
2007-01-24,44.177.000.000,44.808.000.000,44.041.000.000,44.687.000.000,44.687.000.000,114652200
2007-01-26,44.687.000.000,44.687.000.000,43.870.000.000,44.412.000.000,44.412.000.000,102456700
2007-01-29,44.414.000.000,44.435.000.000,43.555.000.000,43.573.000.000,43.573.000.000,95144400
2007-01-30,43.573.000.000,44.065.000.000,43.508.000.000,44.044.000.000,44.044.000.000,110700200
2007-01-31,44.046.000.000,44.643.000.000,43.824.000.000,44.642.000.000,44.642.000.000,131510700
2007-02-01,44.642.000.000,45.212.000.000,44.642.000.000,44.815.000.000,44.815.000.000,120498200
2007-02-02,44.815.000.000,45.204.000.000,44.597.000.000,44.998.000.000,44.998.000.000,106514300
2007-02-05,44.999.000.000,45.286.000.000,44.851.000.000,45.286.000.000,45.286.000.000,79481200
2007-02-06,45.287.000.000,45.486.000.000,45.038.000.000,45.352.000.000,45.352.000.000,109404000
2007-02-07,45.352.000.000,45.425.000.000,44.488.000.000,44.588.000.000,44.588.000.000,114293700
2007-02-08,44.585.000.000,44.892.000.000,44.070.000.000,44.892.000.000,44.892.000.000,124663400
2007-02-09,44.894.000.000,45.050.000.000,44.180.000.000,44.284.000.000,44.284.000.000,133298700
2007-02-12,44.286.000.000,44.464.000.000,43.850.000.000,43.935.000.000,43.935.000.000,94842200
2007-02-13,43.932.000.000,45.197.000.000,43.932.000.000,45.197.000.000,45.197.000.000,116712300
2007-02-14,45.198.000.000,46.106.000.000,45.198.000.000,45.996.000.000,45.996.000.000,232265300
2007-02-15,45.996.000.000,46.178.000.000,45.734.000.000,45.955.000.000,45.955.000.000,140012600
